train_recall,train_precision,test_recall,test_precision,algorithm,hyperparameters,validation_test_f1_score,validation_train_f1_score
0.5841428274366515,0.5346917436799801,0.5787210884353742,0.5149236533625319,Logistic_Regression,max_iter: 10solver: newton-cg,0.5449615688641065,0.5583244476411477
0.4921387477844121,0.4222593404139529,0.4918367346938776,0.3665984549767616,Logistic_Regression,max_iter: 10solver: lbfgs,0.4200820031824888,0.4545289097028673
0.5843370494381991,0.5353086444422442,0.5868571428571429,0.5302360279640925,Logistic_Regression,max_iter: 10solver: liblinear,0.5571116331902155,0.5587493892787554
0.5033002179869661,0.4465120303761105,0.4932244897959184,0.4145052101764947,Logistic_Regression,max_iter: 10solver: sag,0.4504515403941609,0.47320847379974773
0.5020382700803341,0.4380090213650389,0.5013877551020408,0.42937089325357664,Logistic_Regression,max_iter: 10solver: saga,0.4625931946050867,0.46784304016786293
0.5868599550446089,0.5365364624697674,0.5787482993197277,0.5188709263782758,Logistic_Regression,max_iter: 11solver: newton-cg,0.5471763962897301,0.5605710670530454
0.4928181711445234,0.4217727092211856,0.4904761904761906,0.3649139093636446,Logistic_Regression,max_iter: 11solver: lbfgs,0.41847943797798726,0.4545360327974003
0.5912267672716831,0.5411072954943775,0.5868571428571429,0.5339584259959202,Logistic_Regression,max_iter: 11solver: liblinear,0.5591594638627713,0.5650578351070216
0.5076657570909421,0.4498158422625821,0.4959727891156464,0.4260804338915519,Logistic_Regression,max_iter: 11solver: sag,0.45837766391745055,0.4769931876871907
0.5035909144277383,0.4418019318847778,0.5000272108843536,0.4281757656298776,Logistic_Regression,max_iter: 11solver: saga,0.4613205069869711,0.4706772210972485
0.5895772241106881,0.5358320283228842,0.5773605442176871,0.5265805602107683,Logistic_Regression,max_iter: 12solver: newton-cg,0.5508026426376212,0.5614212948135552
0.4957296622121504,0.4564537259794525,0.4877551020408164,0.3624550106184893,Logistic_Regression,max_iter: 12solver: lbfgs,0.41587197813129057,0.4752816614980449
0.5979233947685958,0.5475728634327048,0.5909387755102041,0.5126079914245342,Logistic_Regression,max_iter: 12solver: liblinear,0.5489933872228427,0.571641544950918
0.5063084664100617,0.4488677508338839,0.4973061224489797,0.42402095044916216,Logistic_Regression,max_iter: 12solver: sag,0.4577488731372958,0.47586097401249544
0.5032027533408872,0.44312905053964535,0.4986666666666666,0.4278591810418101,Logistic_Regression,max_iter: 12solver: saga,0.4605572788725498,0.4712591448422519
0.5962731443169906,0.5404557849927111,0.5841360544217687,0.5381969551112271,Logistic_Regression,max_iter: 13solver: newton-cg,0.5602263199784099,0.5669940510401345
0.4984469312782298,0.4506589215453626,0.4905034013605442,0.3864658618183377,Logistic_Regression,max_iter: 13solver: lbfgs,0.43231348620929305,0.4733498499227857
0.5986026766705851,0.54432204630999,0.5950204081632654,0.5217117942353561,Logistic_Regression,max_iter: 13solver: liblinear,0.5559599053071854,0.5701733934711778
0.505240316130611,0.4485292003971617,0.4959455782312926,0.4303214128460346,Logistic_Regression,max_iter: 13solver: sag,0.46080882504732784,0.4751987373793853
0.5030085313393396,0.4432897039738288,0.4959455782312926,0.4195629088094477,Logistic_Regression,max_iter: 13solver: saga,0.45456786552901723,0.47126475487917113
0.5981173338538991,0.5426579922768604,0.5854965986394558,0.540040491317561,Logistic_Regression,max_iter: 14solver: newton-cg,0.5618506464430907,0.5690395717726837
0.5001940805434255,0.41791668019343226,0.4973061224489797,0.40555390238801936,Logistic_Regression,max_iter: 14solver: lbfgs,0.44676789998992306,0.45536869522222717
0.5998629270797528,0.5437502045164365,0.5895510204081632,0.5091403873633287,Logistic_Regression,max_iter: 14solver: liblinear,0.5464031715873521,0.5704299474529235
0.5077644948601191,0.4497296271080397,0.5013877551020408,0.4359153347282731,Logistic_Regression,max_iter: 14solver: sag,0.46636485778262265,0.47698827949512457
0.5032995106963559,0.4436835081613768,0.4973061224489797,0.41628569120427306,Logistic_Regression,max_iter: 14solver: saga,0.4532033230375767,0.4716149880512509
0.7921199338541819,0.7905413989496721,0.5216598639455782,0.5051561221769384,Decision_Tree,min_samples_split: 10criterion: entropy,0.5132753629230217,0.7913298791923095
0.8021155062149625,0.8021466909852889,0.5148299319727891,0.4945696329643387,Decision_Tree,min_samples_split: 10criterion: gini,0.5044964538115234,0.80213109829703
0.7797955364304173,0.7780454071962529,0.5230204081632652,0.5060905067007219,Decision_Tree,min_samples_split: 11criterion: entropy,0.5144162005455921,0.778919488737255
0.7887233828861133,0.7888945435776887,0.5175510204081633,0.4957993314072672,Decision_Tree,min_samples_split: 11criterion: gini,0.506441724577904,0.7888089539470222
0.7686346320603518,0.7667611460850167,0.5257414965986394,0.5093566400146181,Decision_Tree,min_samples_split: 12criterion: entropy,0.5174193880783572,0.7676967460613026
0.7777569834338395,0.7763702022084972,0.5121360544217687,0.4913760114227779,Decision_Tree,min_samples_split: 12criterion: gini,0.5015412973949245,0.7770629740937615
0.7589297561403435,0.7565300250655429,0.5298231292517007,0.5070619803708014,Decision_Tree,min_samples_split: 13criterion: entropy,0.5181927345112146,0.7577279906154599
0.7695081359638886,0.7694406058518203,0.5230204081632652,0.4983751423075065,Decision_Tree,min_samples_split: 13criterion: gini,0.5104004422732338,0.7694743694262208
0.7500016267684034,0.7479884682375345,0.5284353741496599,0.5061145510690566,Decision_Tree,min_samples_split: 14criterion: entropy,0.5170341723242059,0.7489936947546151
0.764559082106538,0.7634583709966392,0.5202993197278911,0.4947757965299852,Decision_Tree,min_samples_split: 14criterion: gini,0.507216670430087,0.7640083301016183
